HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
5.5099,7.1157,9.3075,9.9952,27.6055,5.8298,8.9811,9.4113,10.5178,6.3633,14.086851162790698,6.1199,14.086851162790698,196.5897,8.6011,10.0764,14.086851162790698,14.086851162790698,6.4291,9.294599999999999,8.4131,14.086851162790698,3.6809,11.316,12.4478,11.6349,5.7553,9.0317,10.7956,8.508,7.4887,15.8678,10.8193,5.9052,5.9323,14.086851162790698,6.8132,9.7995,21.9588,11.5416,8.2516,18.0937,11.6572,14.086851162790698,10.511800000000001,8.6779,6.5344,8.3726,8.0557,10.1221,2009-12-31 00:00:00
4.5870999999999995,6.57,8.0569,10.6238,20.5053,5.1567,8.8037,9.5046,12.4576,5.0657,10.00510697674419,5.7341,10.00510697674419,28.1575,7.9902,9.104800000000001,10.00510697674419,10.00510697674419,6.947,8.8428,7.3292,10.00510697674419,3.4855,10.5273,12.6535,12.0235,5.3850999999999996,9.223,9.3955,8.3207,8.9097,23.283,10.8201,3.6592000000000002,5.0557,10.00510697674419,6.4149,11.3697,23.4084,8.5626,7.9923,19.4424,10.7641,10.00510697674419,10.7203,7.7006,6.9523,8.7402,8.0638,11.9092,2010-03-31 00:00:00
3.5101,7.0529,4.9519,9.0851,9.4467,4.658,8.3123,8.4673,9.0967,2.6599,8.456841860465117,4.2303,8.456841860465117,14.4778,7.2301,8.0989,8.456841860465117,8.456841860465117,8.2103,10.2645,5.5926,8.456841860465117,2.5152,10.0751,10.7095,9.7551,5.1243,8.1382,7.3395,8.7739,8.1152,23.4202,9.4912,2.5819,3.9533,8.456841860465117,6.3998,11.6596,19.2874,7.1198,7.6556999999999995,18.7565,9.6378,8.456841860465117,10.54,6.5036000000000005,5.9068000000000005,7.5866,7.5582,9.6944,2010-06-30 00:00:00
4.2618,6.6122,4.3945,9.4124,12.5591,4.9295,9.0823,8.8266,9.9892,2.9924,9.257609090909092,3.9374000000000002,9.257609090909092,16.1377,7.5562000000000005,8.6872,9.257609090909092,9.9978,9.1332,9.2805,6.4387,9.257609090909092,3.0227,11.0679,14.5535,10.1202,5.6737,8.0566,7.6327,9.4165,12.187,19.5477,10.92,2.4907,4.4978,9.257609090909092,6.3247,11.5359,20.404,8.0912,8.1604,23.7511,9.2282,9.257609090909092,10.4471,6.3825,12.8362,7.9814,8.0914,10.685,2010-09-30 00:00:00
5.7114,6.5515,4.5176,10.5698,13.0524,5.0622,8.8197,8.1666,11.141,3.9154,9.399708888888892,4.2649,9.399708888888892,13.4449,8.1041,8.8776,4.2917,11.1946,9.6843,9.0858,6.2631,9.399708888888892,3.485,10.6619,17.6685,10.4479,6.1273,8.2073,9.5349,9.4276,9.8295,11.5794,9.842,4.991,4.7251,9.399708888888892,6.298,10.2199,23.2607,9.131,8.6023,25.3815,10.8593,9.399708888888892,10.5883,7.8668,14.9395,8.3258,6.2081,12.0597,2010-12-31 00:00:00
5.9691,5.5027,4.2107,11.2277,11.5886,5.5262,9.4642,7.7661999999999995,9.8099,3.2439999999999998,9.534300000000002,4.6357,9.534300000000002,14.3567,6.6341,9.5042,3.9058,9.7906,9.6801,9.1152,6.153,9.534300000000002,3.7091,11.1553,18.2354,10.0804,6.3453,9.0277,8.1053,9.5777,12.9357,11.5602,9.9024,5.2452,5.1833,9.534300000000002,6.6542,12.0873,23.9518,9.5783,9.0511,28.683,12.0844,9.534300000000002,9.9491,7.7438,14.9395,8.4617,6.2541,10.4575,2011-03-31 00:00:00
4.9596,5.8123000000000005,4.7668,11.3376,8.7402,5.801,9.4157,8.9697,10.3077,2.906,9.299257777777779,4.6515,9.299257777777779,13.5289,6.3403,9.4078,3.4767,7.7496,9.5161,8.156,6.0904,9.299257777777779,3.7099,12.1294,15.4555,9.4824,6.4761,8.7821,9.4746,10.521,12.1947,10.7549,10.1006,4.7925,4.4838000000000005,9.299257777777779,6.7139,11.6919,24.1608,9.1149,9.257,27.9078,11.7797,9.299257777777779,10.0253,6.9606,14.9395,8.7017,6.3807,10.5414,2011-06-30 00:00:00
3.9273,6.6188,4.0527,9.9382,5.4199,6.1047,9.587,8.6215,9.7402,1.8909,7.9887555555555565,4.3584,7.9887555555555565,10.8339,6.7219999999999995,7.1389,2.3292,5.5682,7.6797,8.8957,4.4129,7.9887555555555565,3.0115,10.4355,9.4742,8.2781,5.8897,7.0752,8.7314,10.2541,8.0171,8.5531,10.2775,3.5213,3.6357,7.9887555555555565,6.6802,11.3118,21.6188,7.8114,9.1243,21.5915,9.3333,7.9887555555555565,10.012,4.436,14.9395,6.7993,5.9914,8.85,2011-09-30 00:00:00
4.2923,10.7006,4.3573,10.0393,5.9766,6.074,9.9589,8.8814,8.4162,2.1807,8.713860000000004,5.0048,8.713860000000004,12.4971,7.0007,7.8651,1.9055,5.4344,6.6975,10.0173,5.1452,8.713860000000004,3.4279,20.2114,9.988199999999999,9.8643,8.7397,7.7726,8.1308,11.2999,8.4072,7.7041,10.8009,5.6429,4.0369,8.713860000000004,7.1037,11.9028,22.8499,13.5244,9.3353,21.8016,9.5669,8.713860000000004,10.9023,5.4187,8.213,8.0188,5.934,9.0806,2011-12-31 00:00:00
4.7818000000000005,9.4889,5.0351,11.2673,6.5821,8.3858,9.6913,8.9017,10.1741,2.8655,14.18762666666667,5.7348,14.18762666666667,15.4443,7.4667,8.417,3.9106,7.2266,7.5147,10.3888,6.9145,14.18762666666667,4.7155000000000005,19.1951,9.7486,10.4528,8.9259,7.0848,7.4955,11.3268,11.1829,8.2944,12.9459,227.225,3.8761,14.18762666666667,7.3736,11.3976,25.3417,12.716,10.279,19.8482,10.4293,14.18762666666667,10.777,5.4038,8.4983,7.6733,6.2517,9.7928,2012-03-31 00:00:00
