HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity
16.5495,23.7667,14.743244999999996,7.4277,34.3007,9.8977,14.6406,32.9892,30.1667,7.9114,14.743244999999996,14.1154,14.743244999999996,-0.5175,10.0841,30.3704,-4.2523,52.5556,5.8735,5.4764,3.0455,14.743244999999996,8.2162,17.1646,31.5882,19.2022,11.9057,6.4202,4.8182,14.743244999999996,14.743244999999996,-1.0682,19.4644,5.7551,14.743244999999996,14.743244999999996,4.3309,11.7863,2.5084,19.0,91.2222,3.5594,4.3442,14.743244999999996,7.4775,14.743244999999996,5.7793,8.9673,6.6364,6.25
19.4167,14.5769,27.98749268292683,9.7842,39.759,11.5847,14.0656,50.9352,10.6786,6.9742,27.98749268292683,21.697,27.98749268292683,1.8868,9.3511,36.0833,8.8902,36.1111,5.4108,6.0333,9.9231,27.98749268292683,6.8125,14.7239,33.0889,17.5647,14.0536,6.395,5.7387,27.98749268292683,27.98749268292683,1.9391,17.1994,4.0909,582.125,27.98749268292683,5.1643,12.5465,2.5145999999999997,20.3,48.792699999999996,3.8970000000000002,3.4494,27.98749268292683,6.1457,27.98749268292683,5.7143,8.7419,6.2768,7.0505
15.9036,15.1831,32.920395121951195,10.6199,41.5323,6.3818,15.3333,49.5743,28.9,8.8977,32.920395121951195,24.4745,32.920395121951195,1.8129,9.4731,35.9231,14.212,53.1111,12.9691,2.1651,11.7037,32.920395121951195,2.8143000000000002,18.3913,30.8113,22.0357,14.4589,8.1565,3.4122,32.920395121951195,32.920395121951195,1.6471,16.9619,4.0357,712.2143,32.920395121951195,3.7426,7.39,2.3494,23.8947,60.6222,3.7137000000000002,6.6624,32.920395121951195,4.6321,32.920395121951195,5.5461,10.8355,7.7155000000000005,19.5222
9.3617,21.4493,48.25041463414633,11.4701,73.4519,12.3771,15.3051,43.9537,31.7667,7.9855,48.25041463414633,29.7,48.25041463414633,3.0842,7.6923,36.3529,13.1977,46.6364,10.8585,7.599,13.0385,48.25041463414633,13.875,20.0368,28.8511,22.6813,14.1344,8.4248,4.3158,48.25041463414633,48.25041463414633,1.5556,12.4627,13.1026,1302.7143,48.25041463414633,4.6268,15.5818,2.2965999999999998,24.9048,58.8526,2.0833,7.3746,48.25041463414633,5.3943,48.25041463414633,-6.3172,11.5882,6.8333,7.6129
14.07,19.6667,933.3333,8.7834,184.3542,8.8907,14.3651,30.514499999999998,26.0,11.0843,100.32657857142866,26.9205,100.32657857142866,1.875,12.1309,31.68,8.1089,55.0909,3.7399,5.5278,8.8077,100.32657857142866,8.6207,17.2781,35.3934,22.5106,9.3767,7.4,4.5778,100.32657857142866,100.32657857142866,1.3818,16.7802,2.9583,2508.5,100.32657857142866,4.5954,9.9431,2.2556,37.4545,77.7647,2.8208,5.9605,100.32657857142866,5.7379,100.32657857142866,-6.3172,11.9225,14.857099999999999,7.0
18.6061,19.3623,933.3333,12.955400000000001,184.3542,9.6906,12.2969,42.848,41.0455,16.1952,101.31043333333346,30.3957,101.31043333333346,3.7849,9.7049,43.4186,13.1342,60.8,5.2229,6.0183,18.1905,101.31043333333346,8.6207,16.1933,28.3288,22.5059,12.2837,7.2589,6.092,101.31043333333346,101.31043333333346,1.8074,14.0591,3.9362,2508.5,101.31043333333346,5.0397,12.9656,2.3888,33.5625,50.2473,2.3116,2.0512,101.31043333333346,5.9905,101.31043333333346,5.4305,10.8652,6.0,7.2418
17.4536,18.4462,933.3333,11.4397,184.3542,8.7692,12.8451,35.0078,45.4545,18.3119,102.3143428571429,28.1564,102.3143428571429,2.1026,9.4271,39.48,22.7742,65.2308,13.1476,5.7438,20.0,102.3143428571429,8.6207,19.9324,33.5652,26.3614,12.6969,9.646,3.4545,102.3143428571429,102.3143428571429,1.7795999999999998,19.2715,5.1667,2508.5,102.3143428571429,4.3225999999999996,11.699300000000001,2.3515,19.6667,61.7835,2.942,5.6541,102.3143428571429,4.5192,102.3143428571429,5.7533,12.1149,6.9328,18.9896
8.8511,18.4462,176.8,14.3472,184.3542,9.7198,13.6143,35.097,40.0435,16.1878,83.973230952381,23.15,83.973230952381,2.7674,9.4271,39.4167,22.5743,65.7273,11.6322,6.0282,16.1905,83.973230952381,8.6207,21.1761,36.4143,25.1548,12.2081,10.1404,4.4667,83.973230952381,83.973230952381,1.9557,11.5271,3.2791,2508.5,83.973230952381,5.4833,15.9024,2.1953,40.8571,57.5421,2.8962,3.9785,83.973230952381,5.4032,83.973230952381,5.9932,13.9859,7.2881,7.5326
15.8925,-13.7778,180.4839,6.2668,184.3542,9.1878,12.2361,22.7705,31.68,16.0383,81.90441395348839,26.1276,81.90441395348839,2.8182,7.7235,37.3556,7.0889,82.7,1.9769,4.6205,4.1905,81.90441395348839,8.6207,7.5522,32.2093,17.1667,-4.6397,8.818999999999999,5.1154,81.90441395348839,81.90441395348839,1.3197,21.6553,-12.0233,2508.5,81.90441395348839,4.7886,13.0937,2.2115,-5.9286,72.6228,2.8805,6.2692,81.90441395348839,4.8196,147.56,7.3254,14.3972,14.4797,3.3409
15.4231,24.6667,270.0476,12.9448,184.3542,5.8205,12.9296,36.3061,32.1481,17.9622,87.13991162790707,33.6258,87.13991162790707,2.4598,9.8587,48.675,18.0,91.625,5.4528,4.6384,15.857099999999999,87.13991162790707,8.6207,3.867,32.1375,21.5745,12.4109,8.0917,5.9565,87.13991162790707,87.13991162790707,1.8597000000000001,15.2589,3.3023,2508.5,87.13991162790707,4.8142,15.7843,2.3348,21.875,43.5273,2.9514,4.4669,87.13991162790707,6.5586,147.56,5.3053,14.3481,5.8852,7.2299
