HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
217.8767578947368,5600.0,300.0,-4.7619,284.6154,-16.1905,15.8416,-18.5567,3.2609,217.8767578947368,217.8767578947368,217.8767578947368,217.8767578947368,85.3873,54.321,71.4286,217.8767578947368,518.1818,207.1429,23.8095,-600.0,1375.0,217.8767578947368,48.4848,-28.2736,204.0,12.1951,-32.5203,-55.0132,6.0606,4.2017,91.5842,10.1124,217.8767578947368,-37.1429,217.8767578947368,-10.0,54.0541,217.8767578947368,-97.1751,10.2719,5.0567,217.8767578947368,217.8767578947368,12.7907,145.4545,38.0952,-16.7939,47.7273,-33.3333,2009-12-31 00:00:00
188.67580232558137,177.5,300.0,33.3333,169.697,4.6296,-6.1224,29.1339,3.2609,188.67580232558137,188.67580232558137,161.1111,-17.8571,92.0,31.8841,74.6667,188.67580232558137,1775.0,7.1429,25.9259,4733.3333,61.2903,188.67580232558137,70.8333,-28.2051,35.0,-20.7547,43.75,1.5873,39.2857,4.2017,91.5842,-30.1075,87.7551,147.8261,-235.2941,26.6055,94.1176,-10.0,-97.1751,16.9591,-65.8089,188.67580232558137,188.67580232558137,-8.2645,200.0,38.0952,41.6667,19.3548,-5.8824,2010-03-31 00:00:00
270.9677,122.8571,55.8824,37.7049,191.3043,-33.0,23.7113,7.7586,-7.2165,1.3333,48.336463829787235,381.0345,-4.9357,92.0,17.7215,40.1786,48.336463829787235,346.4286,3.7037,25.9259,120.2247,139.1304,-35.7143,30.9524,35.2941,88.8889,25.9259,58.209,185.7143,2.0408,4.2017,-81.7647,0.0,5.5556,207.9545,-235.2941,0.0,-34.375,-10.0,-97.1751,13.2479,-26.838,76.1905,48.336463829787235,38.8889,57.1429,52.381,54.3478,2.0,21.3235,2010-06-30 00:00:00
237.1429,37.9747,39.0244,43.2836,858.3333,11.3043,-18.5714,2.4793,2.2727,58.0645,69.19448333333334,110.2041,7.1429,92.0,29.3103,13.9706,-99.5743,202.0833,-15.0,537.5,60.9378,139.1304,4.9296,22.9508,110.6061,81.8182,261.1111,47.561,416.6667,25.5814,85.1064,-81.7647,-38.9474,-69.0476,-1.5625,-235.2941,5.4348,10.9589,-42.8571,114.5161,17.2131,-26.838,20.0,69.19448333333334,92.0,29.8246,52.381,54.902,-8.9286,24.0,2010-09-30 00:00:00
-83.6364,50.0,31.8182,15.0,142.0,-10.2273,2.5641,-11.3924,-23.1579,-80.1284,34.27372499999999,62.7907,675.0,92.0,16.8,-1.5152,-99.5743,36.0294,-72.093,23.1812,60.9378,-6.7797,166.3194,16.3265,11.5349,35.5263,-60.8696,33.7349,108.4476,25.7143,59.6774,-81.7647,-5.102,97.2222,72.0779,-235.2941,25.0,7.0175,-80.0,480.0,16.1644,-27.4446,67.5676,34.27372499999999,10.3093,8.8889,52.381,44.9541,-9.2308,-13.6364,2010-12-31 00:00:00
66.8675,-6.3063,7.6923,30.0,62.9213,-10.6195,-5.4348,-22.561,-23.1579,9.6774,26.255554166666673,49.6454,47.0196,92.0,8.7912,16.0305,260.3448,133.3333,43.3333,11.7647,95.8621,0.0,134.0741,-2.439,23.2143,70.3704,35.7143,31.8841,28.125,15.3846,200.0,-32.6667,-13.8462,97.2222,36.4035,-235.2941,-24.6377,6.8085,-66.6667,-94.1176,17.0,-27.4446,67.5676,26.255554166666673,31.5315,27.4074,52.381,28.4314,5.4054,-18.75,2011-03-31 00:00:00
56.5217,35.8974,26.4151,11.9048,76.1194,38.806,-13.3333,-19.2,20.0,-17.1053,31.350072916666665,-41.5771,26.9558,144.3408,10.7527,3.8217,88.764,108.8,15.1786,11.7647,58.1633,7.2727,81.9444,-1.8182,18.8406,30.5882,-11.7647,49.0566,75.0,-58.0,34.2105,18.2796,49.3976,97.2222,43.1734,35.0,133.3333,172.8276,50.0,29.0598,14.717,-41.9355,-50.0,31.350072916666665,12.0,68.9394,-9.375,13.3803,-1.9607999999999999,2.4242,2011-06-30 00:00:00
-74.8588,-8.2569,15.7895,5.2083,-38.6957,-28.9063,-3.5088,-5.6452,13.3333,-12.2449,2.652999999999999,-47.0874,21.6667,-92.8775,9.3333,-0.6452,-16.0305,62.069,5.8824,-30.719,10.9568,3.9215999999999998,-33.7808,-10.6667,-30.9353,10.0,-68.7179,33.0579,22.5806,5.5556,-10.3448,49.4118,-67.2414,97.2222,108.4656,50.0,11.3402,6.1728,75.0,109.0226,12.937100000000001,-41.9355,-65.4762,2.652999999999999,16.6667,47.2973,-9.375,18.3544,13.7255,-9.6774,2011-09-30 00:00:00
-74.8588,-8.2569,-5.1724,-56.5217,-47.1074,15.1899,-15.0,-88.5714,12.3288,6632.3607,139.01406666666668,-31.4286,19.3548,-62.5,0.0,4.6154,-12.6253,55.1351,5.8824,-32.6414,56.5217,-23.6364,-78.618,-38.5965,37.4793,-27.1845,-68.7179,29.7297,-0.1886,-6.8182,-1.5152,-24.3902,9.6774,97.2222,-1.5093999999999999,-11.1111,-2.2222,3.2572,250.0,109.0226,10.3774,-19.1784,27.4194,139.01406666666668,-8.411200000000001,37.415,-9.375,27.2152,-1.6949,-9.6774,2011-12-31 00:00:00
-44.0326,8.6538,0.0,-3.8462,-17.931,-72.2772,36.7816,12.5984,6.0606,-45.5882,50.75087291666667,-19.9052,12.3778,-55.5556,6.0606,5.9211,-69.378,36.5714,-23.2558,-42.9826,-19.0141,4.0,-75.9494,-57.5,39.1304,9.7826,5.2632,36.2637,13.4146,31.1111,966.6667,-2.9703,-60.1523,-37.5,6.1093,13.7931,-12.5,25.1143,200.0,1650.0,13.2479,-19.1784,27.4194,50.75087291666667,2.7397,11.6279,-5.8824,38.1679,-5.1282,-92.3077,2012-03-31 00:00:00
