HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date,Metric
0.6612,0.8455,3.0882,2.4307,0.3348,4.2971,3.9305,3.043,3.6388,,,5.1372,0.741,0.4636,1.4058,2.4676,,1.5264,2.4953,5.5782,2.9215999999999998,1.2871000000000001,,1.3908,1.2905,3.1375,5.9936,2.5944000000000003,4.6028,6.9282,0.3311,,6.1937,,3.5329,0.6764,4.8635,3.325,4.7302,1.011,1.6806999999999999,6.1372,0.9815,1.4822,2.7092,1.6916,2.5561,1.6901000000000002,3.7267,,2009-12-31 00:00:00,EQY_DVD_YLD_IND
0.6395,0.7854,2.8264,2.0978,0.3291,4.7934,4.3806,3.0061,3.6688,,,5.6399,0.6427,0.4418,1.2928,2.5129,,1.1299,2.6123,5.8824,2.7638,1.1658,,1.4107,1.3237,2.9188,6.5015,2.4334,5.4447,6.8225999999999996,0.2744,,6.9825,,3.5869999999999997,0.5258,4.7534,2.99,4.0921,0.9863,1.7154,6.0137,1.006,1.2810000000000001,3.2382,1.6277,2.3326000000000002,1.4734,3.6596,1.0288,2010-03-31 00:00:00,EQY_DVD_YLD_IND
0.7946,0.6479,3.2391,2.3574,0.5131,5.5306999999999995,4.5431,3.6573,5.2541,,,5.8788,0.7813,0.5682,2.0338,2.6586,,1.0748,2.4331,6.125,3.2984,1.4581,2.0346,1.3805,1.5179,3.3045999999999998,6.945,2.5636,6.047,6.986,0.3047,,7.8631,,4.244,0.543,4.6481,2.6706,4.7619,1.1934,2.1056,6.4577,1.0171,1.4433,3.1532999999999998,2.0539,3.3496,1.899,4.0268,1.3228,2010-06-30 00:00:00,EQY_DVD_YLD_IND
0.6766,0.9553,3.2812,2.2259,0.3404,4.9319,4.2344,3.4861,4.4755,,,5.0251,0.7963,0.5194,1.8713,2.4219,,1.1592,2.2467,5.5336,2.3784,1.3777,1.5485,1.2219,1.3634,2.819,5.8741,2.4198,5.5407,6.3281,0.2318,,7.0413,,3.5534,0.5384,4.877,2.6896,4.0661,0.9588,1.9383,5.8302,0.9823,1.4085,2.7682,2.0237,3.2041,1.6137000000000001,3.5255,1.0475,2010-09-30 00:00:00,EQY_DVD_YLD_IND
0.5226,0.9767,3.4465,1.9428,0.2619,5.0432,4.3694,3.4923,4.5091,,,4.2378,0.6454,1.0565,1.6631,2.4334,,0.9545,2.1195,5.5024999999999995,2.2359999999999998,1.1921,1.3172,1.3883,1.006,2.5902,5.8543,2.2923,5.7322,6.1738,0.2383,,7.6777,,3.1562,0.947,4.9426,2.7147,3.9911,0.8364,1.7715999999999998,5.7935,0.7449,1.0495,2.7183,1.9553,2.477,1.6404,3.6886,0.8675,2010-12-31 00:00:00,EQY_DVD_YLD_IND
0.4694,1.0993,3.5917,1.7335,0.254,5.0921,4.4759,3.6456,4.245,,,4.3365,0.6307,2.439,1.9996,2.3529,,0.9579,2.5619,5.3994,1.8929,1.7409,1.0896,1.3719999999999999,1.0723,2.7987,5.6190999999999995,2.3098,5.9633,5.8394,0.2005,0.0905,8.181,,2.6793,1.0893,4.5752,2.5391,3.9257999999999997,0.745,1.5944,5.2632,0.7261,0.8171,3.4098,1.8357,3.1421,1.5457999999999998,3.6422,2.6069,2011-03-31 00:00:00,EQY_DVD_YLD_IND
0.535,1.4823,3.7906,1.6812,0.2953,4.902,4.3892,3.4275,3.824,,,4.6058,1.7106,2.7447,2.5581,2.3195,,1.0146,2.7316000000000003,5.3107,1.8418999999999999,2.0297,1.478,1.2416,1.1574,2.852,5.476,2.1353,5.4212,5.7554,0.3181,0.0961,7.6259,,3.0338,1.1571,4.6981,2.4274,3.8627000000000002,0.8033,1.7488000000000001,5.4549,1.3243,0.8269,3.3174,1.8437000000000001,3.2387,1.8199,3.649,2.6574999999999998,2011-06-30 00:00:00,EQY_DVD_YLD_IND
0.7625,1.9062999999999999,3.9372,2.2056,0.4084,4.9284,4.1141,3.5798,4.0658,,,5.4692,1.99,3.8585000000000003,2.447,3.0645,,1.9593,3.6799,5.0025,3.0352,2.7972,2.0537,1.4318,1.6742,3.2937,6.0309,2.8186999999999998,5.2863,6.1171,0.579,0.1562,7.8466000000000005,,3.3697,1.7414,4.7940000000000005,2.3295,4.7904,1.2429000000000001,1.7156,6.1111,2.1408,1.3001,3.3237,2.6828,5.0313,2.3264,4.1769,3.3003,2011-09-30 00:00:00,EQY_DVD_YLD_IND
0.7042,2.3329,3.4638999999999998,2.3655,0.3966,4.8421,3.9715,3.4767,4.985,1.8587,,4.7524999999999995,1.7417,3.2137000000000002,2.3428,2.6917999999999997,,1.8178,3.7629,4.5455,2.6626,2.6118,1.7509000000000001,1.3838,1.4639,2.8419,5.8201,2.3607,5.1282,5.5312,0.4897,0.152,7.1363,,3.0451,1.5504,4.3159,2.2337,4.6798,0.9323,1.6315,5.2448,2.6315,1.2336,3.4325,2.0471,3.7087,2.2654,4.3412,3.0637,2011-12-31 00:00:00,EQY_DVD_YLD_IND
0.6785,2.7306,2.9877000000000002,2.116,0.9043,3.8689,4.1797,3.4566,4.1261,1.6032,,4.5561,1.4060000000000001,2.7372,2.0594,2.6454,,1.3329,3.9215999999999998,4.7596,2.012,2.155,1.4678,1.2962,1.573,2.8246,5.6356,2.8558,5.4913,5.3126,0.3601,0.1094,6.9564,,3.0221,1.8540999999999999,4.2704,2.4784,3.9459999999999997,0.9,1.4378,5.3857,1.9391,1.4306,3.411,2.3646,3.3593,2.233,4.0618,3.1172,2012-03-31 00:00:00,EQY_DVD_YLD_IND
