HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
40.8164,16.8033,16.648,15.3554,204.5961,11.8802,13.0075,14.1939,8.3657,21.693994999999997,21.693994999999997,10.9278,12.5951,21.693994999999997,16.7579,17.619,21.693994999999997,18.5545,12.9416,14.7124,15.5234,21.693994999999997,6.3142,22.8579,23.4094,25.4339,12.8874,18.7795,16.1024,10.9163,35.0489,21.693994999999997,6.9946,21.693994999999997,15.456,21.693994999999997,13.4887,16.582,21.693994999999997,17.9195,12.8998,31.5938,17.709600000000002,21.693994999999997,15.6698,19.6997,17.2902,18.1443,17.0529,14.2108,2009-12-31 00:00:00
18.0571,14.8434,14.6298,16.2447,91.8058,11.2159,12.392,14.368,8.082,12.378,20.26095714285714,8.681799999999999,15.1893,20.26095714285714,15.8606,15.7872,20.26095714285714,20.769,14.7481,12.9004,12.5792,20.26095714285714,5.8701,21.7327,24.2007,26.3511,11.6167,18.6217,12.0803,11.2356,28.9467,20.26095714285714,6.6803,122.2375,11.4224,20.26095714285714,12.6148,19.8345,20.26095714285714,17.5353,12.3534,34.4244,16.2424,20.26095714285714,16.0422,16.8379,17.6453,19.1142,17.7919,18.9958,2010-03-31 00:00:00
10.966,16.5314,10.6428,13.4648,20.957,9.8179,11.8071,12.9162,5.7314,5.275,14.509065116279071,6.698,12.8804,14.509065116279071,14.0085,14.0657,14.509065116279071,16.6875,15.661,12.0735,8.6063,14.509065116279071,3.909,21.4787,21.1082,19.9061,9.8648,15.689,9.5873,11.1909,21.668,14.509065116279071,5.7932,14.2476,8.1833,14.509065116279071,13.398,19.3125,48.0685,13.26,11.6589,33.4099,14.187,14.509065116279071,15.4225,13.9622,13.0682,15.5174,16.3611,14.847,2010-06-30 00:00:00
11.2382,15.6962,9.6194,14.6712,25.5478,10.5792,13.4267,13.1927,6.6981,5.7798,20.499032608695654,7.7857,12.6962,20.499032608695654,14.6813,15.0119,20.499032608695654,19.2731,16.3379,11.7472,10.5702,11.5354,5.0819,23.4071,23.0844,20.6014,11.6882,15.8215,9.3132,12.9361,26.342,13.6548,6.2593,11.4373,9.5706,223.98,13.3126,18.5539,56.5733,15.832699999999999,12.2643,59.2642,13.8075,20.499032608695654,15.4133,13.332699999999999,14.1644,16.2561,18.5348,16.3797,2010-09-30 00:00:00
18.3684,16.9214,10.479,16.4878,24.8288,10.3007,12.8098,12.9794,6.9568,8.7975,18.197241666666663,8.8299,12.6128,30.3691,16.0775,14.9928,11.6649,21.1848,17.912,12.157,11.957,13.4072,4.5628,22.660800000000002,29.3308,20.8846,12.0738,15.424,8.0425,12.8939,22.2184,12.432,5.5422,21.9299,9.6239,36.9218,12.6934,18.1346,79.5457,20.763,12.8328,64.8236,16.496,18.197241666666663,15.2883,16.1431,18.2781,16.7691,17.8613,19.2026,2010-12-31 00:00:00
19.9708,15.1737,10.0555,17.5657,20.8033,9.6867,13.4404,12.4338,7.3002,7.2177,19.670060416666665,9.124,11.8198,33.9579,12.8892,16.0103,7.966,17.7105,18.7739,12.2959,12.0482,13.7152,5.131,22.4604,31.77,20.1903,12.6767,16.136,7.9563,13.4496,27.0358,12.2035,5.5441,23.0559,10.401,19.359,14.8836,20.9038,107.1218,20.8296,13.7796,125.0727,15.0075,19.670060416666665,14.5585,15.8057,18.2781,16.9857,17.915399999999998,15.6926,2011-03-31 00:00:00
14.6965,14.186,10.3515,17.5354,15.3401,9.9332,13.7682,13.8058,7.7737,6.7806,20.268677083333333,9.0105,9.9635,30.0763,11.8161,16.0763,6.6688,14.0817,17.3251,12.4114,11.1529,11.4399,5.3875,23.9768,27.7606,18.7128,13.9569,15.5687,9.214,13.4496,23.7519,10.9656,5.766,9.8832,8.9445,16.7327,13.8913,21.6525,90.3031,18.5052,13.8999,225.3212,13.2972,20.268677083333333,14.6838,13.7718,18.2781,17.4841,17.7627,15.7813,2011-06-30 00:00:00
10.0068,16.8876,9.2578,15.2687,9.9427,9.8265,14.3269,13.035,7.1737,4.7841000000000005,14.512466666666668,7.1176,8.2502,19.7189,12.0196,12.1885,4.657,9.9395,11.9693,13.7629,7.2586,8.1593,4.1558,20.2492,17.6606,15.6396,12.2587,11.7056,9.0508,13.5032,12.4192,6.4318,5.4423,4.4113,6.9946,9.6809,13.4012,21.4834,68.1497,15.4364,13.711500000000001,99.5594,8.2018,14.512466666666668,14.1584,8.6232,18.2781,13.0497,15.0235,12.3673,2011-09-30 00:00:00
9.2248,14.9329,10.1366,14.0092,9.5516,10.2974,14.689,13.1515,6.2367,5.7729,16.396364583333334,7.909,9.1147,35.6776,12.1374,13.7131,4.7039,9.8285,11.3638,15.0753,8.1265,9.0966,7.1617,24.5597,18.7998,16.9065,17.5087,13.172,9.5851,14.4557,12.9966,7.4805,5.7866,7.3568999999999996,8.1213,10.7625,14.6789,21.8472,71.4594,18.4256,13.7251,125.6145,8.4789,16.396364583333334,16.1106,10.834,21.7314,15.8849,15.4012,13.4312,2011-12-31 00:00:00
9.8201,12.4009,11.9187,15.7772,11.7644,10.4949,14.2968,13.1642,7.4794,7.6881,16.64731458333333,9.4058,11.0944,41.0468,13.3226,14.624600000000001,6.4716000000000005,12.5231,13.442,13.5637,10.9791,11.0598,10.0079,28.1782,18.0099,18.2662,17.7754,11.231,9.5489,14.7014,16.2024,9.7766,7.3883,11.0625,8.187,12.8793,15.7892,20.0357,68.7067,17.7099,15.0441,89.4213,11.5359,16.64731458333333,16.0639,10.9348,22.6691,14.992,16.5694,14.0459,2012-03-31 00:00:00
