HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
1.0684,1.2776,0.1773,2.4152,1.0656,1.7132,1.4971999999999999,0.7918,1.1809,21.267,1.6785,,93.2787,2.5111,0.9563,,1.9455,4.1551,2.5997,,1.7206000000000001,0.9524,0.862,1.7351999999999999,1.7715999999999998,2.5483000000000002,4.3354,2.003,0.5586,29.8647,1.9766,1.4298,0.3978,,3.6879999999999997,1.6335,9.0594,1.8235000000000001,1.0671,5.3728,3.2348,,4.9374,0.3585,2.8064,2.0491,2.9063,3.0936,2009-12-31 00:00:00
0.8424,1.0637,0.1233,2.2912,0.7832,1.6998,1.4717,0.6528,1.5838,12.8811,1.5556999999999999,,12.2043,2.251,0.8716,,1.7743,4.0012,2.0524,,1.4212,0.9641,0.8218,1.6891,1.7018,2.3612,4.5355,1.9609999999999999,1.0055,35.6026,1.9615,1.1868,0.3367,,3.3708,1.4912,9.0196,1.4782,1.078,6.3277,2.8914999999999997,,4.9917,0.2876,2.7442,1.8876,2.8507,2.8135,2010-03-31 00:00:00
0.7725,0.9674,0.1172,2.1022,0.6648,1.6014,1.4804,0.6294,1.6225,8.4287,1.1605,,7.5523,2.3349,0.8101,,1.9042,4.8149,1.788,,1.1175,0.8572,0.713,1.596,1.692,2.0664,4.6917,2.0132,0.8859,37.0236,2.0751,1.092,0.2999,,3.2939,1.4591,7.797,1.5602,1.0905,6.8616,2.6238,,4.8392,0.2606,2.6494999999999997,1.6436,3.039,2.4938000000000002,2010-06-30 00:00:00
1.0463,0.894,0.099,1.8948,0.5389,1.6568,1.5039,0.6563,1.6147,8.2321,0.9435,,7.3214,2.3029,0.8117,0.4639,1.9235,4.2468,1.6388,,0.9591,0.866,1.1063,1.3548,1.665,2.0307,3.9234,1.8952,0.8837,31.374,2.1805,1.9461,0.2926,,3.2353,1.4152,7.342,1.2978,1.1086,8.3055,2.3336,,4.422,0.25,5.5117,1.5811,2.8093,2.4884,2010-09-30 00:00:00
1.0659,0.8689,0.0955,1.8595000000000002,0.314,1.6729,1.6648,0.8617,1.5551,6.773,0.8848,,5.304,2.1434,0.7747,0.4116,2.005,4.136,1.4046,,0.8517,0.7323,1.2222,1.4415,1.6987,2.006,5.048,1.8748,0.6252,18.8444,2.1715,2.0199,0.2986,,3.2774,1.6554,7.6217,1.3365,1.1696,9.6598,2.2198,,4.4895,0.4889,5.5117,1.4289,2.1072,2.4714,2010-12-31 00:00:00
1.0189,0.8343,0.1003,1.8611,0.2677,1.8455,1.8862,0.9228,1.2771,6.4998000000000005,0.8306,,4.5732,2.1385,0.7834,0.3478,1.9763,4.0513,1.2662,,0.786,1.0281,1.1933,1.5179,1.685,1.8618000000000001,4.4412,1.8465,1.2168,19.6712,2.1525,2.0667,0.2793,,3.2934,1.6129,7.9029,1.4958,1.1985999999999999,12.717600000000001,2.3675,,4.2362,0.4198,5.5117,1.3839000000000001,2.1569,2.6414,2011-03-31 00:00:00
0.9517,0.7936,0.2798,1.8500999999999999,0.2394,1.8993,1.978,0.9945,1.2366,6.6914,0.8854,,4.211,2.3693,0.7693,0.2955,1.9404,3.5872,1.1859,,0.7902,0.957,1.2105,1.4685000000000001,1.7311,1.8851,5.225,2.1512000000000002,1.4035,19.2563,2.0177,1.9526,0.2523,,3.2856,1.4784,7.666,1.5342,1.1499,10.8271,2.4462,,4.0296,0.3406,5.5117,1.3162,2.162,2.5902,2011-06-30 00:00:00
0.9685,0.7797,0.2768,1.6923,0.4308,2.1481,1.8797000000000001,0.9772,1.2881,6.6323,0.9647,,4.439,2.5272,0.8417,0.256,2.096,3.9482,1.1836,,0.8389,0.8889,1.263,1.4888,1.826,1.7486000000000002,4.8100000000000005,2.1199,2.0407,17.9701,1.9433,2.9431000000000003,0.1952,,3.2986,1.2966,7.8157,1.9969000000000001,1.141,9.0996,2.9236,,4.1458,0.4344,5.5117,1.3431,2.3003,2.4763,2011-09-30 00:00:00
1.0363,1.3173,0.2813,1.779,0.3357,1.9766,1.7356,1.0472,1.4367,7.3145,0.9974,,4.131,2.3461,0.6968,0.2605,2.1829,4.3723,1.3207,,0.876,6.6431000000000004,1.0237,1.4154,2.3465,1.8471,4.3789,2.1656,1.4751,16.8422,1.7526000000000002,77.6538,0.1982,,3.3631,1.4858,8.0291,2.9486,1.1727,8.4325,2.8843,,4.3346,0.4071,2.5068,1.2132,2.3273,2.7462999999999997,2011-12-31 00:00:00
1.2445,1.8391,0.269,1.7706,0.3376,3.0435,1.7462,1.0388,1.4546000000000001,7.7978,1.3394,,4.7315000000000005,2.3298,0.6904,0.2485,2.2406,4.4814,1.3738000000000001,,1.1161,5.0079,0.9962,1.5041,2.3582,1.8908,4.12,2.1322,1.7606000000000002,17.7698,2.0806,77.6538,0.1772,,3.4104,1.4957,7.6152,2.6286,1.1779,6.9526,2.5439,,4.2121,0.4,2.5909,1.1406,2.354,2.9078,2012-03-31 00:00:00
