date;jour;mois
29/11/2019;-0,447;-0,451
28/11/2019;-0,446;
27/11/2019;-0,448;
26/11/2019;-0,448;
25/11/2019;-0,448;
22/11/2019;-0,451;
21/11/2019;-0,457;
20/11/2019;-0,426;
19/11/2019;-0,457;
18/11/2019;-0,456;
15/11/2019;-0,456;
14/11/2019;-0,451;
13/11/2019;-0,446;
12/11/2019;-0,452;
11/11/2019;-0,456;
08/11/2019;-0,455;
07/11/2019;-0,452;
06/11/2019;-0,454;
05/11/2019;-0,456;
04/11/2019;-0,451;
01/11/2019;-0,464;
31/10/2019;-0,458;-0,464
30/10/2019;-0,46;
29/10/2019;-0,46;
28/10/2019;-0,463;
25/10/2019;-0,463;
24/10/2019;-0,463;
23/10/2019;-0,462;
22/10/2019;-0,463;
21/10/2019;-0,464;
18/10/2019;-0,462;
17/10/2019;-0,463;
16/10/2019;-0,463;
15/10/2019;-0,466;
14/10/2019;-0,464;
11/10/2019;-0,465;
10/10/2019;-0,467;
09/10/2019;-0,467;
08/10/2019;-0,467;
07/10/2019;-0,469;
04/10/2019;-0,468;
03/10/2019;-0,47;
02/10/2019;-0,466;
01/10/2019;-0,464;
30/09/2019;-0,451;-0,403
27/09/2019;-0,452;
26/09/2019;-0,457;
25/09/2019;-0,455;
24/09/2019;-0,454;
23/09/2019;-0,456;
20/09/2019;-0,458;
19/09/2019;-0,456;
18/09/2019;-0,457;
17/09/2019;-0,367;
16/09/2019;-0,367;
13/09/2019;-0,369;
12/09/2019;-0,366;
11/09/2019;-0,366;
10/09/2019;-0,365;
09/09/2019;-0,363;
06/09/2019;-0,362;
05/09/2019;-0,36;
04/09/2019;-0,362;
03/09/2019;-0,363;
02/09/2019;-0,362;
30/08/2019;-0,359;-0,361
29/08/2019;-0,365;
28/08/2019;-0,369;
27/08/2019;-0,365;
26/08/2019;-0,362;
23/08/2019;-0,361;
22/08/2019;-0,361;
21/08/2019;-0,369;
20/08/2019;-0,363;
19/08/2019;-0,364;
16/08/2019;-0,364;
15/08/2019;-0,362;
14/08/2019;-0,361;
13/08/2019;-0,359;
12/08/2019;-0,36;
09/08/2019;-0,358;
08/08/2019;-0,352;
07/08/2019;-0,359;
06/08/2019;-0,36;
05/08/2019;-0,356;
02/08/2019;-0,357;
01/08/2019;-0,361;
31/07/2019;-0,358;-0,367
30/07/2019;-0,365;
29/07/2019;-0,368;
26/07/2019;-0,366;
25/07/2019;-0,361;
24/07/2019;-0,365;
23/07/2019;-0,369;
22/07/2019;-0,369;
19/07/2019;-0,369;
18/07/2019;-0,368;
17/07/2019;-0,37;
16/07/2019;-0,37;
15/07/2019;-0,368;
12/07/2019;-0,366;
11/07/2019;-0,366;
10/07/2019;-0,368;
09/07/2019;-0,368;
08/07/2019;-0,368;
05/07/2019;-0,367;
04/07/2019;-0,367;
03/07/2019;-0,368;
02/07/2019;-0,367;
01/07/2019;-0,366;
28/06/2019;-0,36;-0,362
27/06/2019;-0,365;
26/06/2019;-0,37;
25/06/2019;-0,37;
24/06/2019;-0,359;
21/06/2019;-0,368;
20/06/2019;-0,374;
19/06/2019;-0,379;
18/06/2019;-0,368;
17/06/2019;-0,369;
14/06/2019;-0,368;
13/06/2019;-0,361;
12/06/2019;-0,367;
11/06/2019;-0,37;
10/06/2019;-0,368;
07/06/2019;-0,252;
06/06/2019;-0,367;
05/06/2019;-0,366;
04/06/2019;-0,365;
03/06/2019;-0,365;
31/05/2019;-0,359;-0,367
30/05/2019;-0,372;
29/05/2019;-0,37;
28/05/2019;-0,37;
27/05/2019;-0,369;
24/05/2019;-0,366;
23/05/2019;-0,368;
22/05/2019;-0,37;
21/05/2019;-0,371;
20/05/2019;-0,37;
17/05/2019;-0,37;
16/05/2019;-0,371;
15/05/2019;-0,368;
14/05/2019;-0,366;
13/05/2019;-0,368;
10/05/2019;-0,365;
09/05/2019;-0,364;
08/05/2019;-0,366;
07/05/2019;-0,363;
06/05/2019;-0,361;
03/05/2019;-0,356;
02/05/2019;-0,362;
30/04/2019;-0,359;-0,367
