HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date1,Date2
-4.479339,-9.406045,-4.901961,-3.330092,-10.41353,-6.650297,-6.780725,-2.406459,-1.857532,8.4,-6.011357,5.33531,-7.398323,5.995452,-2.636991,-1.526385,-4.086089,-3.951191,-6.158699,4.325181,-12.34434,-1.525348,-2.504225,0.6972285,-8.149221,-10.22511,-8.727948,1.171676,-5.612583,0.3021148,-1.235416,-22.93388,-6.325497,16.70612,-3.555861,1.788209,-6.725794,3.819152,-6.501146,-2.978339,-9.177392,12.21877,-1.786073,-3.700062,-1.13852,-5.320814,-5.205561,5.175134,2009-12-31 00:00:00,2010-01-31 00:00:00
1.747707,14.979,6.671663,5.883832,9.216614,-3.945733,2.27311,0.9923321,-1.146032,8.302583,1.023123,-3.663107,1.253133,0.8252212,0.2299236,26.12044,17.11948,0.3746131,5.342296,-1.959436,7.617871,-4.009111,-3.40443,2.521617,-2.16877,10.05294,-3.42489,1.309164,11.71724,2.409639,2.531167,6.032172,1.209586,4.549406,3.282588,10.0304,10.06339,-1.514976,4.366228,0.168924,-1.474259,5.830389,-0.2129519,1.927495,3.358925,11.80492,3.026521,8.208021,2010-01-31 00:00:00,2010-02-28 00:00:00
6.552083,3.553801,8.572821,13.82579,4.07604,1.177829,4.66159,3.492064,2.732195,7.069847,6.604167,13.8259,12.05446,2.096273,4.266999,9.105319,6.987144,-0.1834862,7.696577,8.274895,23.22556,4.670282,3.86252,9.652707,4.151552,8.671981,-1.526544,3.740444,14.44497,19.11765,-2.947679,17.19343,4.882434,5.576445,3.923675,7.671026,13.7509,0.4955947,0.8571878,6.775259,9.276089,-2.253756,2.023539,6.302256,7.761559,8.802137,5.254409,8.120133,2010-02-28 00:00:00,2010-03-31 00:00:00
1.598721,10.11192,2.467474,5.076568,-15.84663,-0.5021685,-2.576336,-1.380368,-18.86598,3.579952,15.67325,6.394601,9.499057,8.11787,6.102668,16.59403,0.8461239,2.818627,5.08794,1.10001,9.982922,11.12628,12.54333,7.34358,2.502761,6.154947,-10.64598,3.265107,8.217862,7.901235,-2.068007,-2.157497,7.398128,10.41009,8.004484,9.810792,-0.3196931,4.657534,0.5847953,-0.6632766,6.051047,6.233988,6.274034,4.873433,2.207792,3.219645,0.7261109,7.253087,2010-03-31 00:00:00,2010-04-30 00:00:00
-16.28639,-4.029957,-5.550986,-11.15991,-9.626484,-10.34488,-0.9141365,-8.501832,-10.56756,-9.907834,-11.43767,-13.21679,-14.01454,-3.814011,-9.987081,-5.643434,4.666319,-3.502466,-9.75792,-12.62448,-13.60813,-3.296478,-21.08653,-8.588891,-6.753645,-4.282752,4.240711,-4.247286,-5.282625,-9.382151,-7.036747,-5.512679,-8.455003,-9.285714,-5.522109,0.2375016,-8.274535,-21.93978,-2.3899,-2.517121,0.8923743,-23.10122,-5.965246,-6.936612,-16.349,-5.146491,-5.353629,-12.88282,2010-04-30 00:00:00,2010-05-31 00:00:00
-5.199633,14.91966,-9.197012,-4.156645,-15.57288,-1.632124,0.9636294,1.303602,-3.084078,-14.0665,-5.341303,-10.7703,-17.33208,-9.829452,-0.40348,-4.19241,2.366127,0.2506266,-10.9889,-9.227942,-19.34338,-4.594763,-1.442565,-9.353091,-0.4526749,-6.039674,-1.994738,0.4894174,-12.03431,-5.050505,-1.640034,-14.58576,-8.135915,-3.204238,1.318314,2.41453,-4.905006,1.412002,-1.421044,-2.228412,-7.384812,8.993183,3.55102,-6.052538,-6.83951,-2.687946,-3.752692,-16.53326,2010-05-31 00:00:00,2010-06-30 00:00:00
6.456099,-9.459022,5.912596,6.97784,22.24218,10.16592,5.756226,-1.642398,7.701772,26.68651,13.62121,8.3203125,24.24935,4.372585,8.292189,22.23246,3.16767,6.875,17.3913,1.900434,19.0234,8.906702,7.806288,14.25558,9.085543,6.069746,9.378757,10.57884,18.00731,9.042553,5.885025,2.322404,12.30474,4.154222,1.205876,-1.94033,12.12798,11.15531,3.984451,7.573599,8.611192,16.47741,6.976744,1.011017,6.181619,7.423392,8.501119,14.68254,2010-06-30 00:00:00,2010-07-31 00:00:00
-6.232506,9.695886,-13.59605,0.6831203,23.22816,-1.414644,0.4366812,-0.9217378,-2.787297,-11.62882,-5.052517,-14.92189,-3.205919,0.1679623,-7.595011,-6.229832,-4.246738,1.906446,-1.740102,-3.230953,2.598291,-3.087303,-10.26359,-1.130702,4.202004,-4.006679,-0.476365,0.7220216,-2.517428,-9.536586,0.5297474,-25.10013,-1.894977,-10.29718,1.494801,-0.4617124,-1.078301,4.32518,-3.625399,2.905586,-13.1607,-22.14626,3.43402,-6.223534,-5.951605,-1.879414,-2.533137,-9.820154,2010-07-31 00:00:00,2010-08-31 00:00:00
17.86251,2.682291,8.689499,6.780023,0.1704739,4.56778,2.018187,8.663627,12.88364,8.462561,9.536525,6.645435,0.3821656,4.456607,10.38829,21.73095,10.28246,3.084983,21.03485,7.708161,8.015224,7.377199,15.52597,4.52978,5.808361,10.86066,1.553051,9.358893,14.24977,5.41925,5.877584,26.73797,9.408748,8.104783,-0.7878665,2.410157,5.584437,7.60963,8.941769,3.069889,9.997746,13.35817,3.69573,7.670108,5.405406,12.14697,9.01386,22.46632,2010-08-31 00:00:00,2010-09-30 00:00:00
6.613667,-3.104601,4.427083,3.380049,24.50647,-4.133396,-2.628747,2.872821,6.749109,15.44118,4.355146,3.762692,2.918782,-2.806886,-2.871641,-2.737911,4.47692,2.823264,6.175676,-3.752664,22.88634,-2.798581,13.43938,0.9746588,1.18368,3.327172,-1.358795,5.818069,-9.516634,6.649616,-0.9482949,3.164557,1.9124,-3.687752,1.807098,3.992435,10.4472,8.509789,7.052333,7.942544,10.08121,9.322541,3.010381,0.4214559,12.55887,7.188264,-0.05595971,13.05486,2010-09-30 00:00:00,2010-10-31 00:00:00
