iter	RMSE
0	4.552712006
1	4.530715019
2	4.513552834
3	4.485984123
4	4.463094433
5	4.434260609
6	4.406581271
7	4.382917983
8	4.367930354
9	4.34831054
10	4.326447644
11	4.311476745
12	4.290659358
13	4.270056855
14	4.239360156
15	4.214616647
16	4.189141682
17	4.176346939
18	4.149219996
19	4.125167362
20	4.105606309
21	4.079068938
22	4.058160644
23	4.042487005
24	4.018336855
25	3.996269565
26	3.976237879
27	3.951964246
28	3.927393915
29	3.903468902
30	3.886901623
31	3.867032596
32	3.843492075
33	3.819368526
34	3.801202715
35	3.781955575
36	3.763020003
37	3.736988017
38	3.721386579
39	3.700804751
40	3.677651011
41	3.66077455
42	3.645510249
43	3.625925345
44	3.610307518
45	3.594266023
46	3.579135367
47	3.555632096
48	3.540971585
49	3.528684671
50	3.51029453
51	3.493133807
52	3.471440865
53	3.454874264
54	3.434980935
55	3.418979289
56	3.4016971
57	3.382522468
58	3.36873292
59	3.358474833
60	3.34896908
61	3.340480045
62	3.32175425
63	3.308800592
64	3.286013325
65	3.262559762
66	3.244975071
67	3.225742903
68	3.207255333
69	3.186321458
70	3.165715285
71	3.156665536
72	3.138052363
73	3.121265967
74	3.101791197
75	3.092984885
76	3.08352416
77	3.066760557
78	3.052092891
79	3.031088005
80	3.016152124
81	3.00446431
82	2.989393116
83	2.974414553
84	2.957831767
85	2.934214703
86	2.914436707
87	2.89539962
88	2.878015631
89	2.862169828
90	2.848543969
91	2.836522995
92	2.825989102
93	2.810409795
94	2.793784091
95	2.782298718
96	2.766821759
97	2.75034134
98	2.74036221
99	2.723256734
100	2.707922924
101	2.691381841
102	2.673969468
103	2.664047291
104	2.649359334
105	2.630086311
106	2.61862201
107	2.599082193
108	2.593396557
109	2.57480089
110	2.560040808
111	2.546150614
112	2.532451995
113	2.518154405
114	2.505802344
115	2.492662766
116	2.480195659
117	2.464571418
118	2.44728173
119	2.435313841
120	2.426942235
121	2.419966492
122	2.40841577
123	2.394611873
124	2.379492287
125	2.365390334
126	2.351202121
127	2.340494254
128	2.328625274
129	2.315377869
130	2.30127493
131	2.292124225
132	2.281152441
133	2.270914575
134	2.261920348
135	2.249269465
136	2.236114485
137	2.22399833
138	2.211492539
139	2.200052805
140	2.184973838
141	2.173244276
142	2.159070719
143	2.14769772
144	2.132374279
145	2.122315511
146	2.109836634
147	2.098249875
148	2.090212924
149	2.076713463
150	2.062742972
151	2.051983901
152	2.042902087
153	2.034748233
154	2.024990042
155	2.0165389
156	2.004685076
157	1.99086078
158	1.977731
159	1.970702426
160	1.959727726
161	1.947823203
162	1.931617152
163	1.919837171
164	1.906528966
165	1.893680977
166	1.882359267
167	1.873777435
168	1.864723297
169	1.854024495
170	1.845419976
171	1.833972061
172	1.823743685
173	1.814480021
174	1.806490618
175	1.795398861
176	1.782884038
177	1.774260367
178	1.762706567
179	1.752197434
180	1.74079367
181	1.730414764
182	1.720407606
183	1.710645297
184	1.701554378
185	1.690987924
186	1.685456008
187	1.676749763
188	1.666743585
189	1.656521429
190	1.646927308
191	1.63778153
192	1.626666901
193	1.614798288
194	1.607971709
195	1.599431287
196	1.58917478
197	1.580234287
198	1.569008275
199	1.561076035
200	1.551564174
201	1.539714733
202	1.527189906
203	1.518483583
204	1.510002138
205	1.502649837
206	1.492411218
207	1.481966576
208	1.475690581
209	1.467297631
210	1.457316116
211	1.4493764
212	1.44534081
213	1.434362362
214	1.423884615
215	1.415556307
216	1.406926805
217	1.394997541
218	1.385058126
219	1.375206178
220	1.365846152
221	1.359036787
222	1.350463322
223	1.34304063
224	1.333184586
225	1.323260746
226	1.317932201
227	1.310033272
228	1.300712822
229	1.290116939
230	1.27966834
231	1.272115931
232	1.263744377
233	1.257743867
234	1.251496859
235	1.242311685
236	1.232434769
237	1.223838414
238	1.216981377
239	1.206837414
240	1.200131125
241	1.195713114
242	1.190154163
243	1.181366019
244	1.171988016
245	1.162852567
246	1.157777068
247	1.149049408
248	1.14211844
249	1.134194255
250	1.126784167
251	1.122652525
252	1.112745663
253	1.10606531
254	1.098270791
255	1.094086045
256	1.090549905
257	1.0830881
258	1.077227824
259	1.068850409
260	1.060730083
261	1.054354732
262	1.046550981
263	1.039846083
264	1.033560314
265	1.027398468
266	1.020729297
267	1.013861207
268	1.006641602
269	0.9982589504
270	0.9912035407
271	0.9848518898
272	0.9772414513
273	0.9704359554
274	0.9629557037
275	0.9554117796
276	0.9499745722
277	0.9443937474
278	0.9393035589
279	0.9337390024
280	0.926147003
281	0.9216967634
282	0.9160520827
283	0.9104438121
284	0.9034159198
285	0.8975256243
286	0.8942614573
287	0.8895300624
288	0.8828072697
289	0.876629454
290	0.8706451539
291	0.8645459488
292	0.8584716426
293	0.8537443936
294	0.850772321
295	0.8444418545
296	0.8381848362
297	0.8326110455
298	0.8262391261
299	0.8202782211
300	0.8141070328
301	0.8076485901
302	0.8016696238
303	0.7952309848
304	0.7892795844
305	0.7849909159
306	0.7790466817
307	0.7727527415
308	0.7698259448
309	0.7639766688
310	0.7582552411
311	0.7557221578
312	0.7502202414
313	0.746026535
314	0.741603414
315	0.7361214347
316	0.7334997405
317	0.7309144339
318	0.7262200732
319	0.7206202265
320	0.7152370862
321	0.7097820893
322	0.7057814691
323	0.700448363
324	0.6969501356
325	0.6918381905
326	0.6893874049
327	0.6841826334
328	0.6790954459
329	0.6749727049
330	0.671199043
331	0.6661236654
332	0.6626166543
333	0.6581165002
334	0.6533175202
335	0.6483916963
336	0.6436812663
337	0.6389237564
338	0.6342360848
339	0.6294983535
340	0.6249451702
341	0.6202841064
342	0.6168488064
343	0.6126442436
344	0.6087416281
345	0.6042225852
346	0.6002003591
347	0.5957990758
348	0.5914626316
349	0.5893368178
350	0.5851179126
351	0.5810195979
352	0.5768729555
353	0.5726677557
354	0.5685253523
355	0.5644856985
356	0.5608222216
357	0.5566964928
358	0.552959174
359	0.5489466835
360	0.5453609605
361	0.5417556988
362	0.537645526
363	0.5337743057
364	0.5303989924
365	0.5269486553
366	0.5232545377
367	0.5197858319
368	0.5163509408
369	0.5124434226
370	0.5090682785
371	0.5057032609
372	0.5024035739
373	0.4994292184
374	0.4962275968
375	0.4930571456
376	0.4898408685
377	0.4864545738
378	0.4829659107
379	0.4805480433
380	0.4781458362
381	0.4761843383
382	0.4727822976
383	0.4691953302
384	0.466328221
385	0.4633063652
386	0.4602841347
387	0.457021151
388	0.4543491059
389	0.4509458359
390	0.4486847105
391	0.4457902876
392	0.4426149467
393	0.4397330964
394	0.4371491897
395	0.4340539703
396	0.4309898163
397	0.4277570643
398	0.4245572983
399	0.4218122539
400	0.4190951759
401	0.4164058117
402	0.4133073955
403	0.4112666032
404	0.408363381
405	0.4059854198
406	0.4033942858
407	0.4005559442
408	0.3979795029
409	0.395185911
410	0.3926725503
411	0.3899242315
412	0.3876514217
413	0.3865181209
414	0.3836803032
415	0.3810074437
416	0.3787993114
417	0.3764195039
418	0.3738063346
419	0.3716995198
420	0.3689908741
421	0.3668724472
422	0.3643401528
423	0.362073087
424	0.3595821244
425	0.35853812
426	0.355948246
427	0.3539547081
428	0.3529323874
429	0.3505176895
430	0.348353314
431	0.3462367991
432	0.3442794961
433	0.3423408621
434	0.3400083221
435	0.3375745617
436	0.3356858441
437	0.3336425192
438	0.3316267923
439	0.3297804521
440	0.3277807091
441	0.3258129646
442	0.323843827
443	0.3219115667
444	0.3199725244
445	0.3190545466
446	0.3169981168
447	0.314968169
448	0.3130784569
449	0.3112306399
450	0.3092557521
451	0.3074486502
452	0.3055588585
453	0.3038115157
454	0.3020804755
455	0.3003636749
456	0.2986646688
457	0.2969815425
458	0.2953141566
459	0.293662373
460	0.2920260547
461	0.2902881687
462	0.2885678679
463	0.2868649613
464	0.2857463201
465	0.2841638012
466	0.2825938949
467	0.2809371584
468	0.2795202772
469	0.2784364716
470	0.2767070549
471	0.2751830665
472	0.273673405
473	0.2718748258
474	0.2700939664
475	0.2685195155
476	0.2668530986
477	0.2653078922
478	0.263671203
479	0.2619453916
480	0.2611115786
481	0.259407781
482	0.2578100522
483	0.2561311756
484	0.2552991872
485	0.2544892948
486	0.2536687848
487	0.2528548168
488	0.2512940524
489	0.2496621438
490	0.2480463986
491	0.2472526625
492	0.2457285976
493	0.2441422104
494	0.2433625828
495	0.2420305112
496	0.2404738557
497	0.2397118872
498	0.2389559393
499	0.2382059672
500	0.2374619265
501	0.2367237735
502	0.235598743
503	0.2348700877
504	0.2341472176
505	0.2328915678
506	0.2314074709
507	0.2300857563
508	0.22862781
509	0.2273873456
510	0.226158648
511	0.224941614
512	0.2237361411
513	0.2225421277
514	0.2213594734
515	0.2199371131
516	0.2185290422
517	0.2171351191
518	0.2158975541
519	0.2146753757
520	0.214023209
521	0.2130130106
522	0.2116524103
523	0.2110104026
524	0.2098255933
525	0.2088427056
526	0.2075124047
527	0.2068838946
528	0.2062603739
529	0.2051119141
530	0.2038082706
531	0.2024536341
532	0.2013346588
533	0.2000624539
534	0.1987383128
535	0.1976480533
536	0.1964065248
537	0.1950260958
538	0.1942839013
539	0.1935489476
540	0.1923364215
541	0.1911077206
542	0.1903882704
543	0.189675825
544	0.1889703157
545	0.1877865699
546	0.1872228971
547	0.1865308963
548	0.1855106871
549	0.1843517357
550	0.1836720067
551	0.182998898
552	0.1818424684
553	0.1807101071
554	0.1801711888
555	0.1795155164
556	0.1786955924
557	0.1777250331
558	0.1770725527
559	0.1764268579
560	0.1756975173
561	0.1750633329
562	0.1739786612
563	0.1732678417
564	0.1726498048
565	0.1719520999
566	0.1713451297
567	0.1707445293
568	0.1695255747
569	0.16831997
570	0.1671275795
571	0.1659482688
572	0.164781905
573	0.1636283566
574	0.1629037581
575	0.1617673226
576	0.1606433972
577	0.1599350693
578	0.15882783
579	0.1577328034
580	0.1568152788
581	0.1558031954
582	0.1549524609
583	0.1538854464
584	0.1532110083
585	0.1521598527
586	0.1511203197
587	0.1500922915
588	0.1493797504
589	0.1486726255
590	0.1479708787
591	0.1472744722
592	0.1465833686
593	0.1458975307
594	0.1452169216
595	0.1445415047
596	0.1438712438
597	0.1432061029
598	0.1425460461
599	0.1418910382
600	0.1412410439
601	0.1405960283
602	0.1399559569
603	0.1393207952
604	0.1386905093
605	0.1380650652
606	0.1374444294
607	0.1368285687
608	0.1357452153
609	0.1348058928
610	0.1342031746
611	0.1331423732
612	0.1322434674
613	0.1313328662
614	0.1307472181
615	0.129714237
616	0.1288425479
617	0.1278267915
618	0.1269491545
619	0.1260998617
620	0.1255395491
621	0.1245504119
622	0.1237200224
623	0.123013234
624	0.1221973367
625	0.1216564189
626	0.1211196491
627	0.1201650604
628	0.1194803058
629	0.1188900098
630	0.1182170664
631	0.1174372284
632	0.1168608444
633	0.1160937412
634	0.1153352701
635	0.114827721
636	0.1143240544
637	0.1134202987
638	0.1128665264
639	0.1123183094
640	0.1117755931
641	0.1109079426
642	0.1101880584
643	0.1096596314
644	0.1089584921
645	0.1084385497
646	0.1076060235
647	0.1069227024
648	0.1064408468
649	0.1059072416
650	0.1051015966
651	0.1044303226
652	0.1039628719
653	0.1034459931
654	0.1026660625
655	0.1020219129
656	0.1015684686
657	0.1010673182
658	0.1003126622
659	0.09967967117
660	0.09923977775
661	0.09875429947
662	0.0980238224
663	0.09754790272
664	0.09712117835
665	0.09651892119
666	0.09607946174
667	0.09566293825
668	0.09499626931
669	0.0944108309
670	0.09395757672
671	0.09328398875
672	0.09288203421
673	0.09222069605
674	0.09182539279
675	0.09132785308
676	0.09093956739
677	0.09029733632
678	0.08991548478
679	0.08948754307
680	0.0888595317
681	0.08848755054
682	0.08811983155
683	0.08770382485
684	0.0872936986
685	0.08688587872
686	0.08652944214
687	0.08612868824
688	0.08573311886
689	0.08538431483
690	0.08484913122
691	0.08446297363
692	0.08408180385
693	0.08375839493
694	0.08338381238
695	0.08306563107
696	0.08269751284
697	0.08238447296
698	0.08202269839
699	0.08166559061
700	0.08134298937
701	0.08099200971
702	0.08069007336
703	0.08034512232
704	0.08003219788
705	0.07969314282
706	0.07940039341
707	0.07906714021
708	0.07873817337
709	0.07845153376
710	0.07814326195
711	0.07757835157
712	0.07701861575
713	0.07650107093
714	0.07620787483
715	0.07565947101
716	0.07515245305
717	0.07488061304
718	0.07437937922
719	0.07406051165
720	0.07352894506
721	0.07303772204
722	0.07276091081
723	0.0722401363
724	0.07195975281
725	0.07148042653
726	0.07100522199
727	0.07053410566
728	0.07023177842
729	0.06976595284
730	0.06946889929
731	0.06897434978
732	0.06877489054
733	0.06831956844
734	0.06803008886
735	0.06757987768
736	0.06739495002
737	0.0669497198
738	0.0666671878
739	0.06619411062
740	0.06600453688
741	0.0655693587
742	0.06531769156
743	0.06488739338
744	0.06463942052
745	0.06438313104
746	0.06392726749
747	0.06350680739
748	0.06325619457
749	0.06300864412
750	0.06256349289
751	0.0621495806
752	0.06174056534
753	0.06130574081
754	0.0609046072
755	0.06047685532
756	0.06008345417
757	0.05969130364
758	0.05930529581
759	0.05892385913
760	0.05854694258
761	0.05817449566
762	0.0577686953
763	0.05742153793
764	0.05707736021
765	0.05671699307
766	0.05637817154
767	0.05602445804
768	0.05569089735
769	0.05537505869
770	0.05501606148
771	0.05472307118
772	0.05441385884
773	0.05407634318
774	0.05377320639
775	0.05344241951
776	0.05314525026
777	0.05277624819
778	0.05240861559
779	0.05204398028
780	0.05168349313
781	0.05140774684
782	0.05112680007
783	0.05084877103
784	0.05057362818
785	0.05030134034
786	0.0500323668
787	0.04976599882
788	0.04948489384
789	0.04920619228
790	0.0489298727
791	0.04865591391
792	0.04838429497
793	0.04811499513
794	0.04778016102
795	0.04744806293
796	0.04711867746
797	0.04679198142
798	0.04646795183
799	0.0461465659
800	0.04582780109
801	0.0455341432
802	0.04522007969
803	0.04493073014
804	0.04461030136
805	0.04430285194
806	0.04399790777
807	0.04371700414
808	0.04342649623
809	0.04312795269
810	0.04283183929
811	0.04252750534
812	0.04223568456
813	0.04196671801
814	0.04166956085
815	0.04154888539
816	0.0412747952
817	0.0409916622
818	0.040710834
819	0.0404437999
820	0.04016701471
821	0.03989248097
822	0.03963910514
823	0.03936860422
824	0.03917857525
825	0.0389229456
826	0.03867058853
827	0.03840699686
828	0.03814554655
829	0.03788621949
830	0.03762899777
831	0.03742930556
832	0.03719074319
833	0.03693858468
834	0.03670493016
835	0.03647242978
836	0.0362254839
837	0.03598054079
838	0.0357533937
839	0.03551203521
840	0.03528819541
841	0.03505036635
842	0.03482961492
843	0.03459515102
844	0.03437752931
845	0.03416319942
846	0.03395962333
847	0.03375754143
848	0.03354903279
849	0.03333487689
850	0.03311098255
851	0.03291419275
852	0.03269069291
853	0.03249647195
854	0.032276781
855	0.03208642693
856	0.03189595708
857	0.03169621179
858	0.03150819908
859	0.03132276628
860	0.03111318959
861	0.03090932476
862	0.03070281595
863	0.03054095437
864	0.03033450832
865	0.03013054779
866	0.0299328323
867	0.02973671673
868	0.02956070323
869	0.02938735597
870	0.02921373529
871	0.0290173629
872	0.02884737356
873	0.02867709167
874	0.02848504725
875	0.02829860829
876	0.02813309068
877	0.02796723663
878	0.02780395993
