iter	Passed	Remaining
0	54	54618
1	55	27696
2	56	18721
3	57	14231
4	59	11826
5	60	10077
6	63	8944
7	64	7995
8	66	7269
9	67	6729
10	69	6282
11	71	5908
12	76	5792
13	78	5505
14	80	5254
15	81	5021
16	83	4806
17	84	4615
18	85	4433
19	87	4281
20	89	4181
21	91	4069
22	93	3976
23	95	3869
24	96	3772
25	98	3684
26	99	3598
27	101	3519
28	103	3460
29	105	3414
30	107	3351
31	108	3289
32	110	3232
33	111	3176
34	113	3127
35	116	3112
36	117	3067
37	120	3047
38	121	3004
39	123	2961
40	125	2927
41	126	2890
42	128	2862
43	130	2831
44	133	2828
45	135	2805
46	137	2781
47	138	2751
48	140	2719
49	141	2689
50	142	2648
51	143	2607
52	144	2579
53	144	2538
54	145	2500
55	149	2513
56	150	2494
57	152	2469
58	153	2448
59	154	2414
60	155	2395
61	156	2370
62	158	2358
63	160	2347
64	161	2320
65	162	2306
66	163	2280
67	165	2261
68	165	2234
69	167	2221
70	169	2220
71	171	2212
72	173	2200
73	176	2206
74	178	2201
75	179	2178
76	180	2159
77	181	2143
78	182	2125
79	183	2107
80	184	2088
81	184	2071
82	185	2050
83	186	2030
84	187	2013
85	188	1999
86	189	1988
87	190	1975
88	191	1962
89	192	1947
90	193	1934
91	195	1925
92	196	1916
93	197	1907
94	201	1920
95	203	1912
96	204	1906
97	206	1901
98	209	1905
99	211	1903
100	213	1896
101	214	1889
102	216	1887
103	227	1961
104	229	1952
105	231	1949
106	239	1998
107	241	1991
108	244	1998
109	246	1993
110	249	1996
111	258	2046
112	259	2035
113	260	2028
114	263	2027
115	305	2327
116	307	2322
117	309	2316
118	313	2321
119	323	2373
120	325	2367
121	327	2359
122	329	2350
123	338	2388
124	341	2387
125	342	2378
126	344	2369
127	350	2385
128	353	2384
129	355	2375
130	357	2370
131	367	2419
132	370	2415
133	372	2405
134	377	2419
135	385	2449
136	388	2445
137	391	2443
138	393	2440
139	401	2464
140	402	2454
141	404	2441
142	405	2430
143	407	2423
144	409	2415
145	411	2407
146	413	2397
147	414	2388
148	417	2381
149	418	2371
150	420	2366
151	427	2385
152	429	2375
153	434	2387
154	437	2385
155	440	2385
156	442	2377
157	444	2370
158	446	2360
159	452	2377
160	455	2373
161	457	2365
162	459	2361
163	460	2349
164	461	2337
165	466	2345
166	469	2343
167	472	2340
168	474	2332
169	475	2321
170	477	2314
171	478	2301
172	480	2294
173	481	2286
174	483	2280
175	486	2277
176	489	2274
177	492	2272
178	493	2263
179	496	2259
180	497	2252
181	499	2246
182	500	2234
183	501	2222
184	502	2212
185	504	2206
186	505	2199
187	508	2194
188	515	2210
189	522	2228
190	524	2220
191	527	2219
192	529	2212
193	532	2212
194	534	2207
195	536	2201
196	537	2190
197	539	2185
198	541	2181
199	542	2171
200	543	2160
201	545	2153
202	547	2149
203	549	2143
204	551	2137
205	552	2129
206	555	2129
207	557	2124
208	558	2113
209	560	2106
210	563	2105
211	564	2098
212	566	2093
213	570	2095
214	572	2090
215	577	2095
216	579	2090
217	581	2084
218	586	2091
219	590	2093
220	592	2087
221	593	2081
222	595	2076
223	597	2071
224	602	2073
225	604	2069
226	606	2064
227	607	2058
228	609	2052
229	611	2047
230	613	2042
231	616	2039
232	617	2032
233	619	2026
234	621	2022
235	622	2014
236	624	2011
237	628	2012
238	631	2010
239	633	2006
240	635	2002
241	637	1995
242	640	1993
243	642	1989
244	644	1987
245	648	1986
246	649	1981
247	653	1982
248	657	1984
249	659	1979
250	662	1976
251	663	1968
252	664	1961
253	666	1956
254	668	1951
255	668	1944
256	670	1938
257	673	1935
258	675	1931
259	679	1934
260	680	1927
261	681	1919
262	682	1911
263	682	1903
264	690	1916
265	692	1911
266	694	1906
267	697	1905
268	699	1900
269	702	1900
270	704	1894
271	704	1886
272	706	1882
273	708	1878
274	710	1873
275	712	1868
276	713	1862
277	715	1857
278	717	1854
279	719	1849
280	719	1842
281	720	1834
282	721	1826
283	722	1822
284	724	1817
285	725	1810
286	726	1805
287	727	1799
288	730	1797
289	733	1796
290	737	1796
291	738	1791
292	740	1786
293	741	1781
294	743	1776
295	752	1789
296	754	1785
297	758	1787
298	761	1785
299	764	1783
300	766	1778
301	767	1774
302	769	1770
303	771	1765
304	772	1759
305	773	1753
306	775	1751
307	777	1746
308	778	1741
309	779	1736
310	781	1731
311	783	1727
312	786	1725
313	788	1721
314	792	1722
315	794	1719
316	796	1715
317	798	1711
318	800	1708
319	801	1703
320	803	1699
321	806	1697
322	807	1693
323	810	1691
324	813	1688
325	814	1684
326	818	1684
327	821	1682
328	823	1678
329	825	1676
330	827	1672
331	831	1673
332	836	1674
333	838	1671
334	839	1667
335	841	1663
336	843	1658
337	846	1658
338	848	1655
339	851	1652
340	853	1649
341	854	1644
342	857	1641
343	860	1640
344	866	1645
345	874	1653
346	878	1653
347	882	1653
348	883	1648
349	885	1644
350	887	1640
351	888	1635
352	890	1632
353	891	1627
354	894	1625
355	896	1621
356	897	1616
357	898	1610
358	899	1605
359	900	1600
360	900	1594
361	901	1588
362	901	1582
363	902	1577
364	903	1572
365	904	1567
366	906	1562
367	907	1558
368	909	1554
369	910	1549
370	910	1544
371	911	1538
372	912	1533
373	913	1528
374	913	1522
375	914	1517
376	915	1512
377	916	1507
378	916	1501
379	917	1496
380	918	1492
381	919	1488
382	921	1484
383	923	1481
384	924	1476
385	924	1470
386	925	1466
387	926	1461
388	928	1458
389	929	1454
390	931	1450
391	932	1446
392	934	1442
393	935	1439
394	938	1437
395	939	1432
396	940	1428
397	941	1423
398	941	1418
399	942	1413
400	943	1408
401	943	1403
402	944	1398
403	944	1393
404	945	1388
405	946	1384
406	946	1379
407	947	1374
408	947	1369
409	948	1365
410	950	1361
411	952	1359
412	953	1355
413	954	1350
414	955	1346
415	955	1341
416	956	1336
417	957	1332
418	957	1328
419	958	1323
420	958	1318
421	959	1313
422	959	1309
423	960	1304
424	960	1299
425	961	1295
426	961	1290
427	962	1286
428	963	1282
429	964	1278
430	965	1274
431	967	1271
432	968	1268
433	969	1264
434	969	1259
435	970	1255
436	971	1251
437	971	1247
438	972	1242
439	973	1238
440	973	1234
441	974	1229
